Internal ID,Parent ID,Date Found,Type,Risky Data Type,Module,Children,Correlations,Distance,Starred,Annotation,Data,Source Data
3b8b7e8f6cbce19b0b00d7f9e252cce786dae9c0ebcd8aad63342936b682cfb5,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,estacao4b (Net ID: 00:02:6F:72:E6:BA),"-22.9035, -47.0565"
3e31523f44961ba89661c93d88ab2a48a10add1f7074edeb3f686f53148e631f,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,siemens (Net ID: 00:01:E3:F2:98:E9),"-22.9035, -47.0565"
45321c43be6ffafb49a31fed80d464aaeb75ff05ef65d2532785e30d1b92e5c7,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,TyCo (Net ID: 00:02:6F:67:B2:B2),"-22.9035, -47.0565"
4672cc266cd5fd9d4a4b5ef3475a305f2f5c362ce0b47e8f2933f546df83523a,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,myLGNet (Net ID: 00:02:A8:A2:AC:D9),"-22.9035, -47.0565"
4d11d29044b16b0e9f0cba4d62df3465577d5d2fbe3dc8989129931bf409f996,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,OPALA3 (Net ID: 00:02:6F:5F:46:C4),"-22.9035, -47.0565"
4ea7d125c06700b09cf99464659f9c85527635e29bc3a478ea179f3aa91a2b9a,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,Reurb (Net ID: 00:01:E3:EC:80:F4),"-22.9035, -47.0565"
4ff521257aa274d574dc20ec0a71b9dcf6668d10f03ce72ddeb5a2a4a3c2a8ac,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,Fer (Net ID: 00:02:72:75:B8:7B),"-22.9035, -47.0565"
50f601f98c4b0b046c40d8b1a836732c357b365a36b49b1dec19b6edd28927c2,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,Amaury (Net ID: 00:02:6F:7C:83:FC),"-22.9035, -47.0565"
52484f401f90755feeb880846c49a9883bcd79ea9ab94df9ae27480e22e66a0f,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,Alba1 (Net ID: 00:02:6F:85:AE:9F),"-22.9035, -47.0565"
5476505419edc7c82f2848e1d95dc47bee6f8e956881cc751f24fc6c4d716982,25cb398e1748d03826503e557859cf531dc61b42594a18afa434a41a7817715d,2023-05-14 13:54:42,Country,0,sfp_countryname,0,0,2,0,,Brazil,"Campinas, Sao Paulo, SP, Brazil, BR"
54c24a80c524e866dcb2266f361e71a2abaf71253ff005655dbbf07e8f551f27,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,CEZANNE (Net ID: 00:03:2F:2E:AF:68),"-22.9035, -47.0565"
554c26303978d2bfe9e9656507f41607542c42e4fdeb8fd4bcb3a05584fb6fc0,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,ALPHA (Net ID: 00:03:2F:37:1B:8C),"-22.9035, -47.0565"
